18:25:57,176 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/home/lucho/workspace/Servidor/bin/servidor/Persistencia/Dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: No se ha encontrado la declaración del elemento 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
18:25:57,223 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/home/lucho/workspace/Servidor/src/servidor/Persistencia/Dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: No se ha encontrado la declaración del elemento 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
15:14:41,080 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
15:14:41,734 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 2.1.0-release) : Enhancement of classes
15:14:42,243 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/home/lucho/workspace/Servidor/bin/servidor/Persistencia/Dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: No se ha encontrado la declaración del elemento 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
15:14:42,289 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/home/lucho/workspace/Servidor/src/servidor/Persistencia/Dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: No se ha encontrado la declaración del elemento 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
15:29:50,588 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
15:29:50,921 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 2.1.0-release) : Enhancement of classes
15:29:51,173 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/home/lucho/workspace/Servidor/bin/servidor/Persistencia/Dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: No se ha encontrado la declaración del elemento 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
15:29:51,201 (main) WARN  [DataNucleus.MetaData] - Error en el analizo del archivo "file:/home/lucho/workspace/Servidor/src/servidor/Persistencia/Dominio/package.jdo" a la linea 5, columna 6 : cvc-elt.1: No se ha encontrado la declaración del elemento 'jdo'. - Por favor compruebe el DTD y la validad de este MetaData.
15:29:51,226 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Assemblers.ObjetoAssembler" no tiene MetaData o annotaciones.
15:29:51,228 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Main" no tiene MetaData o annotaciones.
15:29:51,232 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Persistencia.AccesoBD" no tiene MetaData o annotaciones.
15:29:51,235 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Persistencia.Singleton$NewSingletonHolder" no tiene MetaData o annotaciones.
15:29:51,238 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Persistencia.Singleton" no tiene MetaData o annotaciones.
15:29:51,240 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Servidor" no tiene MetaData o annotaciones.
15:29:51,244 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.SingletonConexion" no tiene MetaData o annotaciones.
15:29:51,248 (main) INFO  [DataNucleus.MetaData] - La clase "servidor.Test.Test" no tiene MetaData o annotaciones.
15:29:51,350 (main) INFO  [DataNucleus.Enhancer] - Writing class file "/home/lucho/workspace/Servidor/bin/servidor/Persistencia/Dominio/Objeto.class" with enhanced definition
15:29:51,350 (main) INFO  [DataNucleus.Enhancer] - ENHANCED (PersistenceCapable) : servidor.Persistencia.Dominio.Objeto
15:29:51,351 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=322 ms, enhance=102 ms, total=424 ms. Consult the log for full details
